DATE,WORD,COUNT,TOTAL_PRINTS
1687,men,0,0
1688,men,2,0
1689,men,8,0
1690,men,8,0
1691,men,0,0
1692,men,2,0
1693,men,0,0
1695,men,0,0
1696,men,0,0
1697,men,1,0
1698,men,1,0
1699,men,0,0
1700,men,1,0
1701,men,2,0
1702,men,5,0
1703,men,0,0
1704,men,0,0
1705,men,2,0
1706,men,3,0
1707,men,3,0
1708,men,0,0
1709,men,0,0
1710,men,3,0
1711,men,0,0
1712,men,1,0
1713,men,6,0
1714,men,0,0
1715,men,2,0
1716,men,1,0
1717,men,1,0
1718,men,0,0
1719,men,2,0
1720,men,60,0
1721,men,5,0
1723,men,0,0
1724,men,2,0
1725,men,1,0
1726,men,6,0
1727,men,1,0
1728,men,3,0
1729,men,2,0
1730,men,5,0
1731,men,1,0
1732,men,2,0
1733,men,10,0
1734,men,3,0
1735,men,3,0
1736,men,3,0
1737,men,3,0
1738,men,5,0
1739,men,3,0
1740,men,9,0
1741,men,14,0
1742,men,11,0
1743,men,6,0
1744,men,0,0
1745,men,8,0
1746,men,1,0
1747,men,1,0
1748,men,1,0
1749,men,2,0
1750,men,4,0
1751,men,3,0
1752,men,6,0
1753,men,3,0
1754,men,1,0
1755,men,2,0
1756,men,2,0
1757,men,1,0
1758,men,3,0
1759,men,0,0
1760,men,0,0
1761,men,0,0
1762,men,1,0
1763,men,11,0
1764,men,0,0
1765,men,4,0
1766,men,3,0
1767,men,1,0
1768,men,2,0
1769,men,8,0
1770,men,18,164
1771,men,11,178
1772,men,42,312
1773,men,42,249
1774,men,21,121
1775,men,17,95
1776,men,13,96
1777,men,13,105
1778,men,24,108
1779,men,24,108
1780,men,73,253
1781,men,38,173
1782,men,40,221
1783,men,47,254
1784,men,79,420
1785,men,28,163
1786,men,49,238
1787,men,22,132
1788,men,44,261
1789,men,27,165
1790,men,46,199
1791,men,43,262
1792,men,50,239
1793,men,32,170
1794,men,36,229
1795,men,28,261
1796,men,60,255
1797,men,35,220
1798,men,39,244
1799,men,25,188
1800,men,36,233
1801,men,24,170
1802,men,21,147
1803,men,44,308
1804,men,25,190
1805,men,34,218
1806,men,32,226
1807,men,43,246
1808,men,65,297
1809,men,62,297
1810,men,46,202
1811,men,40,158
1812,men,47,174
1813,men,72,230
1814,men,48,276
1815,men,41,262
1816,men,26,134
1817,men,32,131
1818,men,28,228
1819,men,54,309
1820,men,65,691
1821,men,34,286
1822,men,29,170
1823,men,26,162
1824,men,20,176
1825,men,51,230
1826,men,35,174
1827,men,31,190
1828,men,31,215
1829,men,46,461
1830,men,47,0
1831,men,45,0
1832,men,44,0
1833,men,21,0
1834,men,0,0
1835,men,4,0
1836,men,9,0
1837,men,0,0
1838,men,1,0
1839,men,0,0
1840,men,1,0
1841,men,1,0
1843,men,1,0
1844,men,0,0
1850,men,0,0
1852,men,0,0
1854,men,0,0
1855,men,0,0
1856,men,0,0
1858,men,0,0
1859,men,0,0
1862,men,0,0
1863,men,1,0
1865,men,0,0
1873,men,0,0
1874,men,0,0
1875,men,0,0
1890,men,0,0
1895,men,0,0
1555,say_lemma,0,0
1570,say_lemma,0,0
1580,say_lemma,0,0
1585,say_lemma,0,0
1592,say_lemma,0,0
1599,say_lemma,0,0
1606,say_lemma,0,0
1607,say_lemma,1,0
1608,say_lemma,0,0
1609,say_lemma,0,0
1619,say_lemma,0,0
1620,say_lemma,0,0
1621,say_lemma,0,0
1623,say_lemma,1,0
1624,say_lemma,0,0
1625,say_lemma,0,0
1626,say_lemma,0,0
1627,say_lemma,0,0
1628,say_lemma,0,0
1630,say_lemma,0,0
1631,say_lemma,0,0
1632,say_lemma,0,0
1633,say_lemma,0,0
1635,say_lemma,0,0
1636,say_lemma,0,0
1639,say_lemma,0,0
1640,say_lemma,0,0
1641,say_lemma,2,0
1642,say_lemma,2,0
1643,say_lemma,0,0
1644,say_lemma,0,0
1645,say_lemma,0,0
1646,say_lemma,0,0
1647,say_lemma,0,0
1648,say_lemma,0,0
1649,say_lemma,0,0
1650,say_lemma,0,0
1651,say_lemma,0,0
1652,say_lemma,0,0
1653,say_lemma,0,0
1654,say_lemma,0,0
1655,say_lemma,0,0
1656,say_lemma,0,0
1657,say_lemma,0,0
1658,say_lemma,0,0
1659,say_lemma,0,0
1660,say_lemma,0,0
1661,say_lemma,0,0
1662,say_lemma,0,0
1663,say_lemma,0,0
1664,say_lemma,0,0
1665,say_lemma,0,0
1666,say_lemma,0,0
1667,say_lemma,0,0
1671,say_lemma,0,0
1672,say_lemma,0,0
1673,say_lemma,0,0
1674,say_lemma,0,0
1675,say_lemma,0,0
1676,say_lemma,0,0
1678,say_lemma,1,0
1679,say_lemma,0,0
1680,say_lemma,1,0
1681,say_lemma,2,0
1682,say_lemma,2,0
1683,say_lemma,2,0
1684,say_lemma,0,0
1685,say_lemma,0,0
1686,say_lemma,0,0
1687,say_lemma,0,0
1688,say_lemma,2,0
1689,say_lemma,1,0
1690,say_lemma,1,0
1691,say_lemma,1,0
1692,say_lemma,0,0
1693,say_lemma,0,0
1695,say_lemma,0,0
1696,say_lemma,0,0
1697,say_lemma,0,0
1698,say_lemma,0,0
1699,say_lemma,0,0
1700,say_lemma,1,0
1701,say_lemma,0,0
1702,say_lemma,0,0
1703,say_lemma,0,0
1704,say_lemma,0,0
1705,say_lemma,0,0
1706,say_lemma,0,0
1707,say_lemma,2,0
1708,say_lemma,0,0
1709,say_lemma,0,0
1710,say_lemma,2,0
1711,say_lemma,1,0
1712,say_lemma,0,0
1713,say_lemma,2,0
1714,say_lemma,0,0
1715,say_lemma,0,0
1716,say_lemma,0,0
1717,say_lemma,0,0
1718,say_lemma,0,0
1719,say_lemma,1,0
1720,say_lemma,11,0
1721,say_lemma,5,0
1723,say_lemma,0,0
1724,say_lemma,0,0
1725,say_lemma,1,0
1726,say_lemma,0,0
1727,say_lemma,1,0
1728,say_lemma,1,0
1729,say_lemma,0,0
1730,say_lemma,0,0
1731,say_lemma,1,0
1732,say_lemma,0,0
1733,say_lemma,9,0
1734,say_lemma,2,0
1735,say_lemma,5,0
1736,say_lemma,0,0
1737,say_lemma,1,0
1738,say_lemma,0,0
1739,say_lemma,1,0
1740,say_lemma,7,0
1741,say_lemma,15,0
1742,say_lemma,19,0
1743,say_lemma,9,0
1744,say_lemma,0,0
1745,say_lemma,3,0
1746,say_lemma,0,0
1747,say_lemma,0,0
1748,say_lemma,0,0
1749,say_lemma,0,0
1750,say_lemma,0,0
1751,say_lemma,1,0
1752,say_lemma,1,0
1753,say_lemma,4,0
1754,say_lemma,0,0
1755,say_lemma,0,0
1756,say_lemma,0,0
1757,say_lemma,1,0
1758,say_lemma,0,0
1759,say_lemma,1,0
1760,say_lemma,0,0
1761,say_lemma,1,0
1762,say_lemma,1,0
1763,say_lemma,7,0
1764,say_lemma,0,0
1765,say_lemma,0,0
1766,say_lemma,1,0
1767,say_lemma,1,0
1768,say_lemma,0,0
1769,say_lemma,0,0
1770,say_lemma,9,164
1771,say_lemma,27,178
1772,say_lemma,17,312
1773,say_lemma,11,249
1774,say_lemma,7,121
1775,say_lemma,6,95
1776,say_lemma,6,96
1777,say_lemma,5,105
1778,say_lemma,21,108
1779,say_lemma,19,108
1780,say_lemma,116,253
1781,say_lemma,45,173
1782,say_lemma,118,221
1783,say_lemma,140,254
1784,say_lemma,251,420
1785,say_lemma,38,163
1786,say_lemma,40,238
1787,say_lemma,27,132
1788,say_lemma,113,261
1789,say_lemma,88,165
1790,say_lemma,88,199
1791,say_lemma,135,262
1792,say_lemma,81,239
1793,say_lemma,51,170
1794,say_lemma,50,229
1795,say_lemma,69,261
1796,say_lemma,53,255
1797,say_lemma,64,220
1798,say_lemma,100,244
1799,say_lemma,65,188
1800,say_lemma,65,233
1801,say_lemma,64,170
1802,say_lemma,66,147
1803,say_lemma,152,308
1804,say_lemma,75,190
1805,say_lemma,93,218
1806,say_lemma,100,226
1807,say_lemma,94,246
1808,say_lemma,101,297
1809,say_lemma,161,297
1810,say_lemma,49,202
1811,say_lemma,64,158
1812,say_lemma,125,174
1813,say_lemma,138,230
1814,say_lemma,116,276
1815,say_lemma,132,262
1816,say_lemma,105,134
1817,say_lemma,39,131
1818,say_lemma,55,228
1819,say_lemma,116,309
1820,say_lemma,120,691
1821,say_lemma,57,286
1822,say_lemma,54,170
1823,say_lemma,49,162
1824,say_lemma,61,176
1825,say_lemma,62,230
1826,say_lemma,39,174
1827,say_lemma,92,190
1828,say_lemma,88,215
1829,say_lemma,159,461
1830,say_lemma,218,0
1831,say_lemma,222,0
1832,say_lemma,145,0
1833,say_lemma,3,0
1834,say_lemma,0,0
1835,say_lemma,3,0
1836,say_lemma,0,0
1837,say_lemma,0,0
1838,say_lemma,0,0
1839,say_lemma,0,0
1840,say_lemma,0,0
1841,say_lemma,0,0
1843,say_lemma,1,0
1844,say_lemma,0,0
1850,say_lemma,0,0
1852,say_lemma,0,0
1854,say_lemma,0,0
1855,say_lemma,0,0
1856,say_lemma,0,0
1858,say_lemma,0,0
1859,say_lemma,0,0
1862,say_lemma,0,0
1863,say_lemma,0,0
1865,say_lemma,0,0
1873,say_lemma,0,0
1874,say_lemma,0,0
1875,say_lemma,0,0
1890,say_lemma,0,0
1895,say_lemma,0,0
1555,woman,0,0
1570,woman,0,0
1580,woman,0,0
1585,woman,0,0
1592,woman,0,0
1599,woman,0,0
1606,woman,0,0
1607,woman,0,0
1608,woman,3,0
1609,woman,0,0
1619,woman,0,0
1620,woman,0,0
1621,woman,0,0
1623,woman,0,0
1624,woman,0,0
1625,woman,3,0
1626,woman,0,0
1627,woman,0,0
1628,woman,0,0
1630,woman,1,0
1631,woman,0,0
