DATE,CATEGORY,WORD,TSCORE
1798,male,men,2.24541
1801,male,men,0.40127
1804,male,men,1.54451
1807,male,men,2.12076
1810,male,men,2.34141
1813,male,men,3.39676
1816,male,men,1.31354
1819,male,men,1.60007
1822,male,men,0
1825,male,men,2.08046
1828,male,men,0.80939
1786,male,mr,2.91046
1789,male,mr,1.7656
1792,male,mr,1.62246
1795,male,mr,2.19064
1798,male,mr,2.3396
1801,male,mr,3.22252
1804,male,mr,3.49826
1807,male,mr,3.04572
1810,male,mr,3.20473
1813,male,mr,3.34337
1816,male,mr,4.33756
1819,male,mr,2.87578
1822,male,mr,2.35618
1825,male,mr,1.61873
1828,male,mr,2.62155
1786,male,sir,2.76764
1789,male,sir,3.00652
1792,male,sir,1.91268
1795,male,sir,2.39948
1798,male,sir,2.91508
1801,male,sir,2.53501
1804,male,sir,2.16475
1807,male,sir,2.89526
1810,male,sir,4.16858
1813,male,sir,3.0168
1816,male,sir,2.41715
1819,male,sir,3.06455
1822,male,sir,1.83543
1825,male,sir,3.67887
1828,male,sir,3.96836
